N,P,K,temperature,humidity,ph,rainfall,label,Crop,Cluster,PCA1,PCA2
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,rice,20,0,-0.20148989335633521,-0.1876585757403703
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,rice,20,0,-0.25272037051576907,-0.2920824531253345
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,rice,20,4,-0.1979907223858999,-0.2208546595919159
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,rice,20,0,-0.16795054778452714,-0.2335058871354108
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,rice,20,0,-0.06152464405636114,-0.16881975348207331
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,rice,20,0,-0.1862587335326976,-0.2458846238560608
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,rice,20,4,-0.2352422251864489,-0.28040808880734297
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,rice,20,0,-0.12236474237545765,-0.17766849706020502
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,rice,20,0,-0.16619282458212653,-0.33960487484283947
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,rice,20,0,-0.2129705683630277,-0.29272133989175475
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,rice,20,0,-0.0856133065226523,-0.18355739064513096
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,rice,20,0,-0.16146394319541676,-0.2112157242399221
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,rice,20,0,-0.10007240354403306,-0.2464962357378442
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,rice,20,4,-0.24250480724261286,-0.2413100100776179
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,rice,20,0,-0.23027506568668074,-0.24959767060102733
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,rice,20,0,-0.1828497359963705,-0.3010583694819872
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,rice,20,0,-0.148581568218523,-0.29052660339767156
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,rice,20,4,-0.1598041555913887,-0.2859903430444041
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,rice,20,0,-0.2030075945168518,-0.30866558030069374
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,rice,20,0,-0.2629449748527249,-0.30744477632214257
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,rice,20,0,-0.13885636453394373,-0.18669031677782427
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,rice,20,0,-0.1305007762853964,-0.19509827334865215
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,rice,20,0,-0.15632703424234695,-0.16002732550755505
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice,20,0,-0.11373770129763222,-0.18696237235631508
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,rice,20,0,-0.1322778561252757,-0.2134911149237361
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice,20,0,-0.22126236971692093,-0.28489120828213366
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,rice,20,0,-0.16586675352753483,-0.2774432144560032
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,rice,20,4,-0.2464539302846885,-0.23605718291279387
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,rice,20,0,-0.12440069156476626,-0.23410014132046628
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,rice,20,0,-0.20985323432294908,-0.22250884073722868
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,rice,20,0,-0.18326192662033708,-0.19901145429698594
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,rice,20,0,-0.15829960717703287,-0.26326937761258984
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,rice,20,0,-0.1375555611057539,-0.1648029035277793
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,rice,20,0,-0.09070065560670716,-0.1864192939775866
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,rice,20,4,-0.15906913501988293,-0.2717149664379162
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,rice,20,0,-0.04496112845693954,-0.1791593598556641
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,rice,20,0,-0.21037155826181025,-0.3228701079247797
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,rice,20,0,-0.20933771124803802,-0.2507252819368839
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,rice,20,0,-0.13629992875828262,-0.21748493202921318
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,rice,20,0,-0.23684940522418896,-0.2949073146570061
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,rice,20,0,-0.1394957628357446,-0.17512399548970742
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,rice,20,0,-0.20704467645827987,-0.29047458295736794
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,rice,20,0,-0.19268766331393114,-0.1928163375858085
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,rice,20,0,-0.1133093584295756,-0.2766724565218266
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,rice,20,0,-0.17170329160946332,-0.3038684867707301
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,rice,20,0,-0.17728144127956885,-0.16643431427227176
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,rice,20,0,-0.14298524718723032,-0.23558954047429834
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,rice,20,4,-0.254657010696495,-0.28181412649460835
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,rice,20,4,-0.17503058292524803,-0.2668278584867161
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,rice,20,0,-0.16048436090387883,-0.25580095149111903
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,rice,20,0,-0.12994984019846542,-0.18881589400213442
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,rice,20,0,-0.17457253409785947,-0.2682897899096556
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,rice,20,0,-0.09272457350743282,-0.1723804039667508
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,rice,20,0,-0.162278731872044,-0.1863122309861846
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice,20,0,-0.21790830988569065,-0.25196819837748446
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,20,0,-0.16920467441816825,-0.21350348713016784
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,rice,20,0,-0.15620719464284116,-0.24342970557126076
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,rice,20,0,-0.2610465083419179,-0.30897915956012384
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,rice,20,0,-0.15332680232577414,-0.20742802942042382
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,rice,20,0,-0.18598227191093453,-0.18565199480382744
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,rice,20,0,-0.21447684030854014,-0.19930886571733913
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,rice,20,0,-0.20788645599811612,-0.2291112706813663
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,rice,20,0,-0.06539970930976521,-0.1679498784580245
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,rice,20,0,-0.1603477549070435,-0.19179045764776656
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,rice,20,0,-0.08185576147168062,-0.16078316521170272
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,rice,20,0,-0.14561081653636523,-0.19550716076845512
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,rice,20,0,-0.07560307526953598,-0.17135181684585643
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,rice,20,0,-0.07422655540265659,-0.18912537393206774
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,rice,20,0,-0.18509084149067365,-0.232966667656373
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,rice,20,4,-0.13929521789154148,-0.23411116019583036
81,53,42,23.67575393,81.03569343,5.17782304,233.7034975,rice,20,0,-0.12351584108055859,-0.2330925932556093
91,50,40,20.82477109,84.1341879,6.462391607000001,230.22422230000004,rice,20,0,-0.1795508407989717,-0.2844674145222272
93,53,38,26.92995077,81.91411159,7.069172227,290.67937830000005,rice,20,0,-0.21188706039470248,-0.3018199140573043
90,44,38,23.83509503,83.88387074,7.473134377,241.20135130000003,rice,20,0,-0.2308734740538356,-0.2813427824541456
81,45,35,26.52872817,80.12267476,6.158376967000001,218.9163567,rice,20,0,-0.1959270238077206,-0.2092356074207951
78,40,38,26.46428311,83.85642678,7.549873681,248.2256491,rice,20,0,-0.22444547116771063,-0.24317845445617042
60,51,36,22.69657794,82.81088865,6.028321557999999,256.9964761,rice,20,0,-0.10809925509760997,-0.1656639816208554
88,46,42,22.68319059,83.46358271,6.604993475,194.2651719,rice,20,4,-0.17968328104134543,-0.2601736660931936
93,47,37,21.53346343,82.14004101,6.500343222000001,295.9248796,rice,20,0,-0.22487759168064506,-0.2924292438717602
60,55,45,21.40865769,83.32931909999998,5.935745417000001,287.5766935000001,rice,20,0,-0.06391856631213774,-0.19516974250973526
78,35,44,26.54348085,84.67353597,7.072655622,183.6222657,rice,20,0,-0.20735862836888788,-0.23729311673542408
65,37,40,23.35905428,83.59512273,5.333322606,188.413665,rice,20,0,-0.14992655689109496,-0.17195018395010847
71,54,16,22.61359953,63.69070564,5.7499144210000015,87.75953857,maize,11,4,-0.13638913333938898,0.059276018628552175
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize,11,4,-0.17965188523238831,0.016230580359062306
80,43,16,23.55882094,71.59351368,6.657964753,66.71995467,maize,11,4,-0.22247166717906258,-0.034901541355662744
73,58,21,19.97215954,57.68272924,6.596060648,60.65171481,maize,11,4,-0.10054535397224042,0.11311637246546977
61,38,20,18.47891261,62.69503871,5.970458434,65.43835393,maize,11,4,-0.15470986800072367,0.12000581450228041
68,41,16,21.77689322,57.80840636,6.158830619,102.0861694,maize,11,4,-0.18914159280224477,0.12500344628343202
93,41,17,25.6217169,66.50415474,6.047906679,105.4654703,maize,11,4,-0.26824018807375094,-0.05682883965297205
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize,11,4,-0.1562234044272962,-0.04266653657517056
76,44,17,20.41683147,62.55424820000001,5.855442401,65.27798457,maize,11,4,-0.18197156302801815,0.06507678122874452
67,60,25,24.92162194,66.78627406,5.750254943,109.2162279,maize,11,4,-0.08089785101196577,0.016772987404699215
70,44,19,23.31689124,73.4541537,5.852607099,94.29712821,maize,11,4,-0.17881694941173557,-0.030973012081354907
90,49,21,24.84016732,68.3584573,6.4725232870000005,74.05474936,maize,11,4,-0.20723773568665654,-0.05828347108989564
62,52,16,22.27526694,58.84015925,6.9670577620000005,63.87020584,maize,11,1,-0.12462957002082241,0.1484350363883566
92,44,16,18.87751445,65.76816093,6.082973754,94.76189431,maize,11,4,-0.2370690829908273,-0.028350949293407222
66,54,21,25.19008683,60.200168700000006,5.919045532,72.12375573,maize,11,1,-0.10819855838791372,0.10162298972001792
63,58,22,18.25405352,55.28220433,6.204747652999999,63.72358154,maize,11,1,-0.06079491616028692,0.17172012845510726
70,47,17,24.612911800000006,70.4162444,6.600827017,104.1626147,maize,11,4,-0.1836136576198606,-0.005723909662946435
61,41,17,25.1420613,65.26185135,6.021902237000001,76.68456006,maize,11,1,-0.17126335329093867,0.0836453551630361
66,53,19,23.09348056,60.11593810000001,6.033550195,65.49730729,maize,11,1,-0.11407874981261806,0.11281890004132568
74,55,19,18.05033737,62.89366992,6.28886807,84.23613484,maize,11,4,-0.12424372152842857,0.06144406623352771
77,57,21,24.9321581,73.80435276,6.550563822999999,79.74078719,maize,11,4,-0.14104177208079363,-0.06415623934301756
99,50,15,18.14710054,71.09445342,5.573286437,88.07753741,maize,11,4,-0.22690295852473233,-0.0997151790375039
74,56,22,18.28362235,66.65952796,6.829199275,80.97573281,maize,11,4,-0.11771723081948035,0.023655341813735416
83,45,21,18.83344471,58.75082029,5.716222912,79.75328959999999,maize,11,4,-0.17952511048584413,0.06443735786861961
100,48,16,25.71895816,67.22190688,5.54990242,74.51490791,maize,11,4,-0.24717062481396995,-0.07979609221303322
79,51,16,25.33797709,68.49835977,6.586244581,96.46380213,maize,11,4,-0.1922338489926083,-0.019873867491365417
94,39,18,23.89114571,57.48775781,5.893093135,102.8301942,maize,11,4,-0.26507831546126026,0.024203450613808686
75,49,15,21.53574127,71.50905983,5.918263801,102.4852929,maize,11,4,-0.1806333125271436,-0.025830556851548767
78,48,22,23.08974909,63.10459626,5.588650585,70.43473609,maize,11,4,-0.15778184811718654,0.03538518765116869
87,54,20,25.61707368,63.4711755,6.576418207000001,108.8303762,maize,11,4,-0.18803909391356877,-0.016481050529924657
87,35,25,21.44526922,63.1621551,6.178056304,65.88951188,maize,11,4,-0.23278242354936482,0.006597903144897963
63,43,19,18.51816776,55.53128131,6.641906353,90.988051,maize,11,1,-0.15023212912180106,0.16976595210608508
84,57,25,22.53510514,67.99257471,6.489040367,64.40866039,maize,11,4,-0.13383710036758736,-0.03396352855925407
64,35,23,23.02038334,61.89472002,5.680361037999999,63.03843397,maize,11,4,-0.1728983937050293,0.10327814740763011
60,46,22,24.89364635,65.61418761,6.625404347999999,87.9298085,maize,11,1,-0.13836142823655084,0.07181032310013324
98,44,21,25.77175115,74.089114,6.524478032,107.4931917,maize,11,4,-0.2657691834851017,-0.15179328133275433
75,56,18,19.39851734,62.35750641,5.696205468,60.95197486,maize,11,4,-0.11663200109882974,0.06843925649398308
86,55,21,21.54156232,59.64024162,6.803931519,109.7515385,maize,11,4,-0.16848706359787322,0.028175670507756406
98,35,18,23.79746068,74.82913698,6.252797547999999,91.76337172,maize,11,4,-0.3053892058066069,-0.14164261613734086
76,57,18,18.9802729,74.52600826,6.092725883,94.26249353,maize,11,4,-0.13326154366730275,-0.056019486213107005
99,56,17,24.10859207,73.13112261,6.234330356,71.07562236,maize,11,4,-0.21147936228951597,-0.12808260113347267
60,44,23,24.7947077,70.04556743,5.722579819,76.72860067,maize,11,1,-0.13395113517495547,0.03310380107232847
74,48,17,21.63162756,60.27766379,6.430616465,69.21803098,maize,11,4,-0.16713208183665781,0.08907817231450128
89,60,17,25.37548751,57.21025565,5.983952675,101.7004306,maize,11,4,-0.16402718149078738,0.037966493504873924
69,51,23,22.21738222,72.85462807,6.80163854,106.6213157,maize,11,4,-0.14169858591176712,-0.03116029042195187
96,46,22,20.58314011,69.00128641,6.499936446,66.29390357,maize,11,4,-0.22293965083470166,-0.07568496464769786
61,60,15,24.87502824,68.74248334,6.265564338,91.26056654,maize,11,1,-0.09980890959168054,0.04543717370870667
74,58,18,20.03728219,56.35606753,6.727303282,109.024141,maize,11,4,-0.12543103185894208,0.10947137395174707
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize,11,4,-0.18684004887567773,0.04630596271304672
63,43,17,19.28889933,65.47050802,6.807487794,71.3195307,maize,11,4,-0.16161969261591752,0.08882636960218261
99,36,20,20.57981887,65.34583901,6.671085817000001,78.34604471,maize,11,4,-0.28539727677473525,-0.05113699398624589
77,36,23,24.71417533,56.73426469,6.648725327,88.45361858,maize,11,4,-0.22162402425615182,0.09112273300758293
87,60,23,20.27317074,63.91281869,6.439071996,62.50351892,maize,11,4,-0.12654362013162382,-0.0005266848305727526
60,38,17,18.41932981,64.23580251,6.474476516,76.41312437,maize,11,4,-0.17071775203777953,0.1119515204593939
94,54,17,23.39128187,61.74427165,5.871647806,107.3198135,maize,11,4,-0.20298287588615319,-0.017931279690676292
95,38,22,19.84939404,61.24500053,5.730617109,100.7689246,maize,11,4,-0.24971882321761305,-0.011422882317058531
84,44,21,21.869274,61.91044947,5.850439831,107.2681929,maize,11,4,-0.20363931013326866,0.01685512844841016
77,58,19,22.8056033,56.50768935,5.791649933,101.5952794,maize,11,4,-0.12492721958985387,0.09070345993443173
66,44,20,19.0781471,69.02298571,6.740000687999999,80.72515943,maize,11,4,-0.15855664262433572,0.037179815976024225
63,35,16,22.02720976,65.35549924,6.272417541,83.73280082,maize,11,4,-0.2043294316237378,0.08315465113267306
79,45,20,23.80546189,59.24537979,5.715208817000001,89.96220140000001,maize,11,4,-0.18603154339668046,0.06282963566500335
72,60,25,18.52510753,69.0276233,5.773454729,88.10234397,maize,11,4,-0.07641586293723453,-0.0016538536821759417
67,51,24,23.50297882,61.32026065,5.584171461,64.77791424,maize,11,4,-0.10592395278771113,0.08902474845238036
86,36,24,26.54986394,72.89187265,5.787268394,73.33636055,maize,11,4,-0.24387142185252994,-0.09005458496236923
76,48,18,19.29563411,69.63481219,5.77597783,83.21030571,maize,11,4,-0.1655896821912366,-0.006234144045149315
75,53,18,20.68899915,59.4375337,6.864793607,103.651438,maize,11,4,-0.15425669997431538,0.08026192081027421
81,45,23,19.32666088,68.03449300000001,6.192360002999999,84.22969177,maize,11,4,-0.18027449770675746,-0.017339626462771467
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize,11,4,-0.1881279668039319,-0.04888814480749443
71,35,24,22.27373646,59.52193158,5.826426917,67.96704792,maize,11,4,-0.1884922655199179,0.09727013270456988
96,54,22,25.70196694,61.33450447,6.960358276,83.20711308,maize,11,4,-0.20327626430855994,-0.02409885164274655
99,39,18,19.20129357,68.30578978,6.11275104,87.85092352,maize,11,4,-0.27318594436792615,-0.07714431934829016
62,48,20,21.70181447,60.47470519,6.708446922,95.71388473,maize,11,1,-0.13378388002403563,0.11752218242086045
86,37,16,20.51716779,59.21235483,5.561510732,67.61013737,maize,11,4,-0.2399309676646169,0.06071501167477807
94,50,19,23.30355338,73.62548442,5.873242491,97.59081274,maize,11,4,-0.21890088013636108,-0.12406495108137672
76,39,24,24.2547451,55.64709899,6.995843776,64.23845455,maize,11,4,-0.19841921297007672,0.1121891601564386
77,52,17,24.86374934,65.7420046,5.714799723,75.82270467,maize,11,4,-0.1618230714507053,0.01713884775253666
74,39,23,22.6265115,65.77472881,6.78073637,88.17251033,maize,11,4,-0.2017075100721438,0.023900080115192072
81,49,20,18.04185513,60.61494304,5.513697923,104.2321615,maize,11,4,-0.1621417494463259,0.04792312418989052
63,42,21,23.26237612,72.33125523,5.798423907999999,67.10225139,maize,11,4,-0.15416058909459374,0.011928531200819645
99,38,21,22.88330922,71.59722446,6.352471866,67.72777298,maize,11,4,-0.2761161224206222,-0.11150611871160598
90,52,25,25.97482359,69.36385721,6.822586546,103.2234212,maize,11,4,-0.19445604746549594,-0.08700993405949758
68,40,19,26.14384005,66.20569924,6.655426355,107.2361366,maize,11,4,-0.20543528349993992,0.03454006197827254
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize,11,1,-0.056837043431046536,0.11795353775414277
71,52,18,25.10787449,55.97732754,5.790770202999999,78.16077693,maize,11,4,-0.13821961777941988,0.12487841032875337
61,59,17,23.33844615,59.24580604,6.47444292,105.0083144,maize,11,1,-0.09409696112663449,0.12699794874235967
88,38,15,25.08239719,65.92195844,6.455116637000001,62.49190812,maize,11,4,-0.2672902937625462,-0.011754232791729269
65,60,22,25.36768364,72.52054555,6.6069840860000015,107.9124111,maize,11,4,-0.09873699655034113,-0.02159065323723039
78,37,22,25.34217103,63.31801994,6.330554389,74.52082026,maize,11,4,-0.22173375457656688,0.0322579353928501
78,58,15,25.00933355,67.816568,6.5286312660000005,62.91359494,maize,11,4,-0.151531709006154,0.001950760412422615
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,11,4,-0.13498150730799388,-0.08859828189865056
79,59,17,20.37999665,63.73849998,6.644205485,108.5054416,maize,11,4,-0.1420898150587633,0.024860905152009435
91,55,15,18.09300227,72.61024172,6.376651091,78.96159541,maize,11,4,-0.18974297827192485,-0.08064322435432104
76,51,18,26.16985907,71.96246617,6.247040422,79.84925393,maize,11,4,-0.1737167507634729,-0.03995391573872908
87,48,25,18.65396672,61.37879671,6.656730007999999,93.62039175,maize,11,4,-0.1784832961849654,0.01538868014545478
71,60,22,26.07470121,59.37147589,6.2048017,85.75692395,maize,11,4,-0.09953090736201736,0.08106452237780462
90,57,24,18.92851916,72.80086137,6.158860284,82.34162918,maize,11,4,-0.1487531373597443,-0.09772001836541024
67,35,22,23.30546753,63.24648023,6.385684213999999,108.7603001,maize,11,4,-0.20440725973225835,0.06617807632758206
60,54,19,18.74826712,62.49878458,6.417820493,70.23401597,maize,11,1,-0.08970896101822926,0.12080426811561899
83,58,23,19.74213321,59.66263104,6.381201909,65.50861389,maize,11,4,-0.12089597591325517,0.05324803786962774
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize,11,4,-0.17226328205494779,-0.06296806773537134
40,72,77,17.02498456,16.98861173,7.485996067,88.55123143,chickpea,3,2,0.25257429889650107,0.5026124517565956
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea,3,2,0.32595246295368685,0.5502957778925536
39,58,85,17.88776475,15.40589717,5.9969320370000005,68.54932919,chickpea,3,2,0.23856510716722956,0.5141072092719515
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea,3,2,0.3369666650043006,0.5619409518828179
36,67,77,18.36952567,19.56381041,7.152811172000001,79.26357665,chickpea,3,2,0.2422581702787675,0.4955757721087571
32,73,81,20.45078582,15.40312102,5.988992796000002,92.68373702,chickpea,3,2,0.30063885119165357,0.5283759064204124
58,70,84,20.6543203,16.60820843,6.231049027999999,74.6631118,chickpea,3,2,0.22592327835295992,0.42378949154493206
59,70,84,17.3348681,18.74926979,7.550808267000001,82.61734721,chickpea,3,2,0.21332828300421944,0.40696709432475275
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea,3,2,0.19839573026939702,0.48351782716107156
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea,3,2,0.29245898995980935,0.5302711726716819
58,66,79,20.99373558,19.33470387,8.718192847000001,93.55280105,chickpea,3,2,0.15742153655723107,0.40595866033652656
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea,3,2,0.21723087841375002,0.5069669353883852
58,63,81,19.81344531,14.69765308,6.515499548999999,78.96514709,chickpea,3,2,0.1834440298257824,0.44899297079567735
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea,3,2,0.26560368603447143,0.5328090451590961
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea,3,2,0.2561857039749488,0.5768001947122479
28,72,84,18.72963144,19.18197264,6.481783042999999,71.58010169,chickpea,3,2,0.3184188444500867,0.5159979358934068
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea,3,2,0.1371130053375147,0.44457784368725656
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea,3,2,0.2610064522831475,0.49702208482960547
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea,3,2,0.32514773861062174,0.5752335157774152
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea,3,2,0.27133045300654174,0.5503495550104306
26,80,83,17.08498521,16.14565756,7.528599957000001,71.31007253,chickpea,3,2,0.3508983705999392,0.5554171250204512
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea,3,2,0.26813509488133197,0.571450112004785
31,78,76,17.57212145,14.99927489,8.519975748,89.31050665,chickpea,3,2,0.2895086155689826,0.5542247228207862
60,68,83,19.12065218,18.43475844,6.620900869,85.52950164,chickpea,3,2,0.20377033847283105,0.40210388949419124
59,62,83,18.57665902,19.22008229,8.104396057999999,72.94940441,chickpea,3,2,0.1670846017288994,0.40881397743742975
22,67,78,17.16606398,14.42457525,6.204090835,72.32667516,chickpea,3,2,0.3018781463881211,0.5952393136697663
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea,3,2,0.2580910817432092,0.5169615089371569
59,60,84,19.03025305,18.66725565,7.690962337999999,94.70992037,chickpea,3,2,0.16001709026174604,0.40337763324358367
54,77,85,17.141861399999996,17.0662427,7.8292111439999985,83.74606679,chickpea,3,2,0.260050427441404,0.43732315192518467
43,68,81,17.47809436,17.93253975,6.761599706,78.92060234,chickpea,3,2,0.24807491720991112,0.47865808159943063
28,76,82,20.56601874,14.25803981,6.654425315,83.75937135,chickpea,3,2,0.32371510131273235,0.5550600347552721
42,79,85,17.22385224,15.82069268,6.129533877,76.57580954,chickpea,3,2,0.3228552271753959,0.4915232461555565
32,60,83,19.69141713,19.44225438,8.829273328,91.76071648,chickpea,3,2,0.21730159073368768,0.49951829477852666
22,78,76,17.84851658,19.09172907,8.621662982,76.32470713,chickpea,3,2,0.3131857508217039,0.5546060768808175
31,79,75,18.8202251,16.1074793,8.204862075,89.73119396,chickpea,3,2,0.29050748144384614,0.542331190255229
28,58,81,17.47500984,16.54314829,6.18042747,93.35034262,chickpea,3,2,0.2480571813837109,0.5435213560720492
57,58,77,18.72649425,17.58406365,7.978996755,81.20176515,chickpea,3,2,0.13480195230113257,0.4388979253412597
49,55,78,18.65580107,16.17772668,7.863113671,81.70769297,chickpea,3,2,0.14873622509211434,0.4801573327430885
46,76,77,18.2356751,19.68538502,6.967843048,83.74879344,chickpea,3,2,0.25647908798536645,0.4531232697349305
54,61,77,18.81198127,15.21618225,6.206582192999999,77.54294240000002,chickpea,3,2,0.17796254223992242,0.46835156165515124
38,60,76,18.65054116,17.80852431,8.868741443,77.92798682,chickpea,3,2,0.18390261670134683,0.5110126087972168
